                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    111,                 0.8704,                0.59679,                 1.1603,                 0.8687,                0.83931,                0.90237,                0.65447,                0.97218,                0.56236,                 1.1844,              0.0046045,              0.0046045,              0.0046045
                    112,                0.87178,                0.59662,                 1.1637,                0.86949,                0.83945,                0.90205,                0.65432,                0.97253,                0.56092,                 1.1845,               0.004555,               0.004555,               0.004555
                    113,                0.86579,                0.59332,                 1.1596,                0.86948,                0.84113,                0.90255,                0.65512,                 0.9725,                0.56043,                 1.1849,              0.0045055,              0.0045055,              0.0045055
                    114,                0.86732,                0.58901,                 1.1601,                0.87447,                0.83783,                0.90227,                0.65508,                0.97275,                0.56035,                 1.1848,               0.004456,               0.004456,               0.004456
                    115,                0.86283,                0.58886,                 1.1575,                0.87402,                0.83879,                0.90243,                0.65555,                0.97251,                 0.5603,                 1.1846,              0.0044065,              0.0044065,              0.0044065
                    116,                0.86075,                0.58075,                 1.1559,                0.87655,                0.83591,                0.90314,                0.65619,                0.97217,                0.55908,                 1.1843,               0.004357,               0.004357,               0.004357
                    117,                0.85757,                0.58541,                 1.1589,                0.87703,                0.83733,                0.90357,                0.65624,                0.97176,                0.55925,                 1.1842,              0.0043075,              0.0043075,              0.0043075
                    118,                0.85533,                0.58152,                 1.1533,                0.87827,                0.83653,                0.90332,                 0.6567,                0.97197,                0.55756,                 1.1846,               0.004258,               0.004258,               0.004258
                    119,                0.84961,                0.57464,                 1.1485,                0.87619,                0.83725,                0.90296,                0.65693,                0.97178,                0.55758,                 1.1848,              0.0042085,              0.0042085,              0.0042085
                    120,                 0.8476,                0.57655,                 1.1467,                0.87741,                0.83745,                0.90275,                0.65735,                0.97144,                0.55663,                 1.1844,               0.004159,               0.004159,               0.004159
                    121,                0.84835,                0.56806,                 1.1448,                 0.8819,                0.83313,                0.90293,                0.65762,                0.97138,                0.55616,                 1.1843,              0.0041095,              0.0041095,              0.0041095
